Expression: ^\d+::([\w\s:,\.\(\)'\-\/!&ÁÉÍÓÚáéíóúäëïöü]+)\s(\(\d\d\d\d\))::.*$
{title: Invasion of the Body Snatchers, year: (1956)}
{title: Earth vs. the Flying Saucers, year: (1956)}
{title: It Conquered the World, year: (1956)}
{title: Mole People, The, year: (1956)}
{title: Swamp Thing, year: (1982)}
{title: Pork Chop Hill, year: (1959)}
{title: Run Silent, Run Deep, year: (1958)}
{title: Notting Hill, year: (1999)}
{title: Thirteenth Floor, The, year: (1999)}
{title: Eternity and a Day (Mia aoniotita kai mia mera), year: (1998)}
{title: Loss of Sexual Innocence, The, year: (1999)}
{title: Twice Upon a Yesterday, year: (1998)}
{title: Instinct, year: (1999)}
{title: Buena Vista Social Club, year: (1999)}
{title: Desert Blue, year: (1999)}
{title: Finding North, year: (1998)}
{title: Floating, year: (1997)}
{title: Free Enterprise, year: (1998)}
{title: Limbo, year: (1999)}
{title: Austin Powers: The Spy Who Shagged Me, year: (1999)}
{title: Taxman, year: (1999)}
{title: Red Dwarf, The (Nain rouge, Le), year: (1998)}
{title: Red Violin, The (Violon rouge, Le), year: (1998)}
{title: Tarzan, year: (1999)}
{title: General's Daughter, The, year: (1999)}
{title: Get Bruce, year: (1999)}
{title: Ideal Husband, An, year: (1999)}
{title: Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano), year: (1998)}
{title: Run Lola Run (Lola rennt), year: (1998)}
{title: Trekkies, year: (1997)}
{title: Big Daddy, year: (1999)}
{title: Boys, The, year: (1998)}
2696::Dinner Game, The (Dîner de cons, Le) (1998)::Comedy
{title: My Son the Fanatic, year: (1997)}
{title: Zone 39, year: (1997)}
{title: Arachnophobia, year: (1990)}
{title: South Park: Bigger, Longer and Uncut, year: (1999)}
{title: Wild Wild West, year: (1999)}
{title: Summer of Sam, year: (1999)}
{title: Broken Vessels, year: (1998)}
{title: Lovers on the Bridge, The (Les Amants du Pont-Neuf), year: (1991)}
2705::Late August, Early September (Fin août, début septembre) (1998)::Drama
{title: American Pie, year: (1999)}
{title: Arlington Road, year: (1999)}
{title: Autumn Tale, An (Conte d'automne), year: (1998)}
{title: Muppets From Space, year: (1999)}
{title: Blair Witch Project, The, year: (1999)}
{title: My Life So Far, year: (1999)}
{title: Eyes Wide Shut, year: (1999)}
{title: Lake Placid, year: (1999)}
{title: Wood, The, year: (1999)}
{title: Velocity of Gary, The, year: (1998)}
{title: Ghostbusters (a.k.a. Ghost Busters), year: (1984)}
{title: Ghostbusters II, year: (1989)}
{title: Drop Dead Gorgeous, year: (1999)}
{title: Haunting, The, year: (1999)}
{title: Inspector Gadget, year: (1999)}
{title: Trick, year: (1999)}
{title: Deep Blue Sea, year: (1999)}
{title: Mystery Men, year: (1999)}
{title: Runaway Bride, year: (1999)}
{title: Twin Falls Idaho, year: (1999)}
{title: Killing, The, year: (1956)}
{title: Killer's Kiss, year: (1955)}
{title: Spartacus, year: (1960)}
{title: Lolita, year: (1962)}
{title: Barry Lyndon, year: (1975)}
{title: 400 Blows, The (Les Quatre cents coups), year: (1959)}
{title: Jules and Jim (Jules et Jim), year: (1961)}
{title: Vibes, year: (1988)}
{title: Mosquito Coast, The, year: (1986)}
{title: Golden Child, The, year: (1986)}
{title: Brighton Beach Memoirs, year: (1986)}
{title: Assassination, year: (1987)}
{title: Crimes of the Heart, year: (1986)}
{title: Color Purple, The, year: (1985)}
{title: Kindred, The, year: (1986)}
{title: No Mercy, year: (1986)}
{title: Ménage (Tenue de soirée), year: (1986)}
{title: Native Son, year: (1986)}
{title: Otello, year: (1986)}
{title: Mission, The, year: (1986)}
{title: Little Shop of Horrors, year: (1986)}
{title: Little Shop of Horrors, The, year: (1960)}
{title: Allan Quatermain and the Lost City of Gold, year: (1987)}
{title: Morning After, The, year: (1986)}
{title: Radio Days, year: (1987)}
{title: From the Hip, year: (1987)}
{title: Outrageous Fortune, year: (1987)}
{title: Bedroom Window, The, year: (1987)}
{title: Deadtime Stories, year: (1987)}
{title: Light of Day, year: (1987)}
{title: Wanted: Dead or Alive, year: (1987)}
{title: Frances, year: (1982)}
{title: Plenty, year: (1985)}
{title: Dick, year: (1999)}
{title: Gambler, The (A Játékos), year: (1997)}
{title: Iron Giant, The, year: (1999)}
{title: Sixth Sense, The, year: (1999)}
{title: Thomas Crown Affair, The, year: (1999)}
{title: Thomas Crown Affair, The, year: (1968)}
{title: Acid House, The, year: (1998)}
{title: Adventures of Sebastian Cole, The, year: (1998)}
{title: Illuminata, year: (1998)}
{title: Stiff Upper Lips, year: (1998)}
{title: Yards, The, year: (2000)}
{title: Bowfinger, year: (1999)}
{title: Brokedown Palace, year: (1999)}
{title: Detroit Rock City, year: (1999)}
{title: Alice and Martin (Alice et Martin), year: (1998)}
{title: Better Than Chocolate, year: (1999)}
{title: Head On, year: (1998)}
2776::Marcello Mastroianni: I Remember Yes, I Remember (Marcello Mastroianni: mi ricordo, sì, io mi ricordo) (1997)::Documentary
{title: Cobra, year: (1925)}
{title: Never Talk to Strangers, year: (1995)}
{title: Heaven Can Wait, year: (1978)}
{title: Raven, The, year: (1963)}
{title: Tingler, The, year: (1959)}
{title: Pit and the Pendulum, year: (1961)}
{title: Tomb of Ligeia, The, year: (1965)}
{title: Masque of the Red Death, The, year: (1964)}
{title: Tales of Terror, year: (1962)}
{title: Haunted Honeymoon, year: (1986)}
{title: Cat's Eye, year: (1985)}
{title: Monty Python's And Now for Something Completely Different, year: (1971)}
{title: Damien: Omen II, year: (1978)}
{title: Final Conflict, The (a.k.a. Omen III: The Final Conflict), year: (1981)}
{title: Airplane!, year: (1980)}
{title: Airplane II: The Sequel, year: (1982)}
{title: American Werewolf in Paris, An, year: (1997)}
{title: European Vacation, year: (1985)}
{title: Vacation, year: (1983)}
{title: Funny Farm, year: (1988)}
{title: Big, year: (1988)}
{title: Problem Child, year: (1990)}
{title: Problem Child 2, year: (1991)}
{title: Little Nemo: Adventures in Slumberland, year: (1992)}
{title: Oscar and Lucinda (a.k.a. Oscar & Lucinda), year: (1997)}
{title: Tequila Sunrise, year: (1988)}
{title: Pelican Brief, The, year: (1993)}
{title: Christmas Story, A, year: (1983)}
{title: Mickey Blue Eyes, year: (1999)}
{title: Teaching Mrs. Tingle, year: (1999)}
{title: Universal Soldier: The Return, year: (1999)}
{title: Universal Soldier, year: (1992)}
{title: Love Stinks, year: (1999)}
{title: Perfect Blue, year: (1997)}
{title: With Friends Like These..., year: (1998)}
{title: In Too Deep, year: (1999)}
{title: Source, The, year: (1999)}
{title: Bat, The, year: (1959)}
{title: Iron Eagle, year: (1986)}
{title: Iron Eagle II, year: (1988)}
{title: Aces: Iron Eagle III, year: (1992)}
{title: Iron Eagle IV, year: (1995)}
{title: 3 Days of the Condor (a.k.a. Three Days of the Condor), year: (1975)}
{title: Hamlet, year: (1964)}
{title: Male and Female, year: (1919)}
{title: Medicine Man, year: (1992)}
{title: Spiders Part 1: The Golden Lake, The (Die Spinnen, 1. Teil: Der Goldene See), year: (1919)}
{title: On the Ropes, year: (1999)}
{title: Rosie, year: (1998)}
{title: 13th Warrior, The, year: (1999)}
{title: Astronaut's Wife, The, year: (1999)}
{title: Dudley Do-Right, year: (1999)}
{title: Muse, The, year: (1999)}
{title: Cabaret Balkan (Bure Baruta), year: (1998)}
{title: Dog of Flanders, A, year: (1999)}
{title: Lost Son, The, year: (1999)}
{title: Lucie Aubrac, year: (1997)}
{title: Very Thought of You, The, year: (1998)}
{title: Chill Factor, year: (1999)}
{title: Outside Providence, year: (1999)}
{title: Bedrooms & Hallways, year: (1998)}
{title: I Woke Up Early the Day I Died, year: (1998)}
{title: West Beirut (West Beyrouth), year: (1998)}
{title: Stigmata, year: (1999)}
{title: Stir of Echoes, year: (1999)}
{title: Best Laid Plans, year: (1999)}
{title: Black Cat, White Cat (Crna macka, beli macor), year: (1998)}
{title: Minus Man, The, year: (1999)}
{title: Whiteboyz, year: (1999)}
{title: Adventures of Milo and Otis, The (Koneko monogatari), year: (1986)}
{title: Only Angels Have Wings, year: (1939)}
{title: Othello, year: (1952)}
{title: Queens Logic, year: (1991)}
{title: Public Access, year: (1993)}
{title: Saturn 3, year: (1980)}
{title: Soldier's Story, A, year: (1984)}
{title: Communion (a.k.a. Alice, Sweet Alice) (a.k.a. Holy Terror), year: (1976)}
{title: Don't Look in the Basement!, year: (1973)}
{title: Nightmares, year: (1983)}
{title: I Saw What You Did, year: (1965)}
{title: Yellow Submarine, year: (1968)}
{title: American Beauty, year: (1999)}
{title: Stop Making Sense, year: (1984)}
{title: Blue Streak, year: (1999)}
{title: For Love of the Game, year: (1999)}
{title: Caligula, year: (1979)}
{title: Hard Day's Night, A, year: (1964)}
{title: Splendor, year: (1999)}
{title: Sugar Town, year: (1999)}
{title: Buddy Holly Story, The, year: (1978)}
{title: Fright Night, year: (1985)}
{title: Fright Night Part II, year: (1989)}
{title: Separation, The (La Séparation), year: (1994)}
{title: Barefoot in the Park, year: (1967)}
{title: Deliverance, year: (1972)}
{title: Excalibur, year: (1981)}
{title: Lulu on the Bridge, year: (1998)}
{title: Pajama Game, The, year: (1957)}
{title: Sommersby, year: (1993)}
{title: Thumbelina, year: (1994)}
{title: Tommy, year: (1975)}
{title: Hell Night, year: (1981)}
{title: Operation Condor (Armour of God II: Operation Condor) (Fei ying gai wak), year: (1991)}
{title: Operation Condor 2 (Armour of God) (Long xiong hu di), year: (1987)}
{title: Double Jeopardy, year: (1999)}
{title: Jakob the Liar, year: (1999)}
{title: Mumford, year: (1999)}
{title: Dog Park, year: (1998)}
{title: Guinevere, year: (1999)}
{title: Adventures of Elmo in Grouchland, The, year: (1999)}
{title: Simon Sez, year: (1999)}
{title: Drive Me Crazy, year: (1999)}
{title: Mystery, Alaska, year: (1999)}
{title: Three Kings, year: (1999)}
{title: Happy, Texas, year: (1999)}
{title: New Rose Hotel, year: (1998)}
{title: Plunkett & MaCleane, year: (1999)}
{title: Romance, year: (1999)}
{title: Napoleon and Samantha, year: (1972)}
{title: Alvarez Kelly, year: (1966)}
{title: And the Ship Sails On (E la nave va), year: (1983)}
{title: Dark Half, The, year: (1993)}
{title: Gulliver's Travels, year: (1939)}
{title: Monkey Shines, year: (1988)}
{title: Phantasm, year: (1979)}
{title: Psycho II, year: (1983)}
{title: Psycho III, year: (1986)}
{title: Rain, year: (1932)}
2905::Sanjuro (Tsubaki Sanjûrô) (1962)::Action|Adventure|Drama
{title: Random Hearts, year: (1999)}
{title: Superstar, year: (1999)}
{title: Boys Don't Cry, year: (1999)}
{title: Five Wives, Three Secretaries and Me, year: (1998)}
{title: Ennui, L', year: (1998)}
{title: Grandfather, The (El Abuelo), year: (1998)}
{title: Limey, The, year: (1999)}
{title: Mating Habits of the Earthbound Human, The, year: (1999)}
{title: Molly, year: (1999)}
{title: Risky Business, year: (1983)}
{title: Total Recall, year: (1990)}
{title: Body Heat, year: (1981)}
{title: Ferris Bueller's Day Off, year: (1986)}
{title: Year of Living Dangerously, The, year: (1982)}
{title: Children of Paradise (Les enfants du paradis), year: (1945)}
{title: High Plains Drifter, year: (1973)}
{title: Hang 'Em High, year: (1968)}
{title: Handle with Care (a.k.a. Citizen's Band), year: (1977)}
{title: Drunken Master (Jui kuen), year: (1978)}
{title: Conformist, The (Il Conformista), year: (1970)}
{title: Hairspray, year: (1988)}
{title: Brief Encounter, year: (1946)}
{title: Razor's Edge, The, year: (1984)}
{title: Reds, year: (1981)}
{title: Return with Honor, year: (1998)}
{title: Time of the Gypsies (Dom za vesanje), year: (1989)}
{title: Days of Heaven, year: (1978)}
{title: Fire Within, The (Le Feu Follet), year: (1963)}
{title: Love Bewitched, A (El Amor Brujo), year: (1986)}
{title: Lady Eve, The, year: (1941)}
{title: Sullivan's Travels, year: (1941)}
{title: Palm Beach Story, The, year: (1942)}
{title: Man Facing Southeast (Hombre mirando al sudeste), year: (1986)}
{title: Niagara, year: (1953)}
{title: Gilda, year: (1946)}
{title: South Pacific, year: (1958)}
{title: Flashdance, year: (1983)}
{title: Indochine, year: (1992)}
{title: Dirty Dozen, The, year: (1967)}
{title: Mike's Murder, year: (1984)}
{title: Help!, year: (1965)}
{title: Goldfinger, year: (1964)}
{title: From Russia with Love, year: (1963)}
{title: Dr. No, year: (1962)}
{title: Blue Lagoon, The, year: (1980)}
{title: Fistful of Dollars, A (Per un pugno di dollari), year: (1964)}
{title: Sydney (Hard Eight), year: (1996)}
{title: Home Alone 2: Lost in New York, year: (1992)}
{title: Penitentiary, year: (1979)}
{title: Penitentiary II, year: (1982)}
{title: Someone to Watch Over Me, year: (1987)}
{title: Sparrows, year: (1926)}
{title: Naturally Native, year: (1998)}
{title: Fight Club, year: (1999)}
{title: Beefcake, year: (1999)}
{title: Story of Us, The, year: (1999)}
{title: Fever Pitch, year: (1997)}
{title: Joe the King, year: (1999)}
{title: Julien Donkey-Boy, year: (1999)}
{title: Omega Code, The, year: (1999)}
{title: Straight Story, The, year: (1999)}
{title: Bad Seed, The, year: (1956)}
{title: Time Bandits, year: (1981)}
{title: Man and a Woman, A (Un Homme et une Femme), year: (1966)}
{title: Fitzcarraldo, year: (1982)}
{title: All That Jazz, year: (1979)}
{title: Red Sorghum (Hong gao liang), year: (1987)}
{title: Crimes and Misdemeanors, year: (1989)}
{title: Bats, year: (1999)}
{title: Best Man, The, year: (1999)}
{title: Bringing Out the Dead, year: (1999)}
{title: Crazy in Alabama, year: (1999)}
{title: Three to Tango, year: (1999)}
{title: Body Shots, year: (1999)}
{title: Men Cry Bullets, year: (1997)}
2981::Brother, Can You Spare a Dime? (1975)::Documentary
{title: Guardian, The, year: (1990)}
{title: Ipcress File, The, year: (1965)}
{title: On Any Sunday, year: (1971)}
{title: RoboCop, year: (1987)}
{title: RoboCop 2, year: (1990)}
2987::Who Framed Roger Rabbit? (1988)::Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
{title: Melvin and Howard, year: (1980)}
{title: For Your Eyes Only, year: (1981)}
{title: Licence to Kill, year: (1989)}
{title: Live and Let Die, year: (1973)}
{title: Rawhead Rex, year: (1986)}
{title: Thunderball, year: (1965)}
{title: City, The (La Ciudad), year: (1998)}
{title: House on Haunted Hill, year: (1999)}
{title: Music of the Heart, year: (1999)}
{title: Being John Malkovich, year: (1999)}
{title: Dreaming of Joseph Lees, year: (1999)}
{title: Man of the Century, year: (1999)}
{title: Princess Mononoke (Mononoke-hime), year: (1997)}
{title: Suburbans, The, year: (1999)}
{title: My Best Fiend (Mein liebster Feind), year: (1999)}
{title: Train of Life (Train De Vie), year: (1998)}
{title: Bachelor, The, year: (1999)}
{title: Bone Collector, The, year: (1999)}
{title: Insider, The, year: (1999)}
{title: American Movie: The Making of Northwestern, year: (1999)}
{title: Last Night, year: (1998)}
{title: Portraits Chinois, year: (1996)}
{title: Rosetta, year: (1999)}
3011::They Shoot Horses, Don't They? (1969)::Drama
{title: Battling Butler, year: (1926)}
{title: Bride of Re-Animator, year: (1990)}
{title: Bustin' Loose, year: (1981)}
{title: Coma, year: (1978)}
{title: Creepshow, year: (1982)}
{title: Creepshow 2, year: (1987)}
{title: Re-Animator, year: (1985)}
{title: Drugstore Cowboy, year: (1989)}
{title: Falling Down, year: (1993)}
{title: Funhouse, The, year: (1981)}
{title: General, The, year: (1927)}
{title: My Best Girl, year: (1927)}
{title: Piranha, year: (1978)}
{title: Rough Night in Jericho, year: (1967)}
{title: Slaughterhouse, year: (1987)}
{title: Slaughterhouse 2, year: (1988)}
{title: Taming of the Shrew, The, year: (1967)}
{title: Nighthawks, year: (1981)}
{title: Yojimbo, year: (1961)}
{title: Repossessed, year: (1990)}
{title: Omega Man, The, year: (1971)}
{title: Spaceballs, year: (1987)}
{title: Robin Hood, year: (1973)}
{title: Mister Roberts, year: (1955)}
{title: Quest for Fire (Guerre du feu, La), year: (1981)}
{title: Little Big Man, year: (1970)}
{title: Face in the Crowd, A, year: (1957)}
{title: Trading Places, year: (1983)}
{title: Meatballs, year: (1979)}
{title: Meatballs Part II, year: (1984)}
{title: Meatballs III, year: (1987)}
{title: Meatballs 4, year: (1992)}
{title: Dead Again, year: (1991)}
{title: Peter's Friends, year: (1992)}
{title: Incredibly True Adventure of Two Girls in Love, The, year: (1995)}
{title: Experience Preferred... But Not Essential, year: (1982)}
{title: Under the Rainbow, year: (1981)}
{title: How I Won the War, year: (1967)}
{title: Light It Up, year: (1999)}
{title: Anywhere But Here, year: (1999)}
{title: Dogma, year: (1999)}
{title: Messenger: The Story of Joan of Arc, The, year: (1999)}
{title: Pokémon: The First Movie, year: (1998)}
{title: Felicia's Journey, year: (1999)}
{title: Oxygen, year: (1999)}
3057::Where's Marlowe? (1999)::Comedy
{title: Ape, The, year: (1940)}
{title: British Intelligence, year: (1940)}
{title: Commitments, The, year: (1991)}
{title: Holiday Inn, year: (1942)}
{title: Longest Day, The, year: (1962)}
{title: Poison Ivy, year: (1992)}
{title: Poison Ivy: New Seduction, year: (1997)}
{title: Nothing to Lose (a.k.a. Ten Benny), year: (1996)}
{title: Tora! Tora! Tora!, year: (1970)}
{title: Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios), year: (1988)}
{title: Verdict, The, year: (1982)}
{title: Effect of Gamma Rays on Man-in-the-Moon Marigolds, The, year: (1972)}
{title: Adventures of Buckaroo Banzai Across the 8th Dimension, The, year: (1984)}
{title: Stand and Deliver, year: (1988)}
{title: Moonstruck, year: (1987)}
{title: Sandpiper, The, year: (1965)}
{title: Jeremiah Johnson, year: (1972)}
{title: Repulsion, year: (1965)}
{title: Irma la Douce, year: (1963)}
{title: 42 Up, year: (1998)}
{title: Liberty Heights, year: (1999)}
{title: Mansfield Park, year: (1999)}
{title: Goodbye, 20th Century (Zbogum na dvadesetiot vek), year: (1998)}
{title: Sleepy Hollow, year: (1999)}
{title: World Is Not Enough, The, year: (1999)}
{title: All About My Mother (Todo sobre mi madre), year: (1999)}
{title: Home Page, year: (1999)}
{title: Living Dead Girl, The (La Morte Vivante), year: (1982)}
{title: March of the Wooden Soldiers (a.k.a. Babes in Toyland), year: (1934)}
{title: Scrooged, year: (1988)}
{title: Harvey, year: (1950)}
{title: Bicycle Thief, The (Ladri di biciclette), year: (1948)}
{title: Matewan, year: (1987)}
{title: Kagemusha, year: (1980)}
{title: Chushingura, year: (1962)}
{title: McCabe & Mrs. Miller, year: (1971)}
{title: Maurice, year: (1987)}
{title: Grapes of Wrath, The, year: (1940)}
{title: My Man Godfrey, year: (1957)}
{title: Shop Around the Corner, The, year: (1940)}
{title: Natural, The, year: (1984)}
{title: Shampoo, year: (1975)}
{title: River Runs Through It, A, year: (1992)}
{title: Fatal Attraction, year: (1987)}
{title: Jagged Edge, year: (1985)}
{title: Stanley & Iris, year: (1990)}
{title: Midnight Run, year: (1988)}
{title: Awakenings, year: (1990)}
{title: Come See the Paradise, year: (1990)}
{title: Backdraft, year: (1991)}
{title: Fisher King, The, year: (1991)}
{title: River, The, year: (1984)}
{title: Country, year: (1984)}
{title: Places in the Heart, year: (1984)}
{title: 'night Mother, year: (1986)}
{title: End of Days, year: (1999)}
{title: Toy Story 2, year: (1999)}
{title: Flawless, year: (1999)}
{title: Miss Julie, year: (1999)}
{title: Ride with the Devil, year: (1999)}
{title: Tumbleweeds, year: (1999)}
{title: Bay of Blood (a.k.a. Twitch Of The Death Nerve) (Reazione a catena), year: (1971)}
{title: Distinguished Gentleman, The, year: (1992)}
{title: Hitch-Hiker, The, year: (1953)}
{title: Santa Fe Trail, year: (1940)}
{title: Lauderdale (a.k.a. Spring Break USA) (a.k.a. Spring Fever USA), year: (1989)}
{title: Agnes Browne, year: (1999)}
{title: End of the Affair, The, year: (1999)}
{title: End of the Affair, The, year: (1955)}
{title: Holy Smoke, year: (1999)}
{title: Map of the World, A, year: (1999)}
{title: Sweet and Lowdown, year: (1999)}
{title: Bonfire of the Vanities, year: (1990)}
{title: Broadway Damage, year: (1997)}
{title: Daddy Long Legs, year: (1919)}
{title: Go West, year: (1925)}
{title: Grand Illusion (Grande illusion, La), year: (1937)}
{title: Great Santini, The, year: (1979)}
{title: James Dean Story, The, year: (1957)}
{title: Sea Wolves, The, year: (1980)}
{title: Stealing Home, year: (1988)}
{title: Tarzan the Fearless, year: (1933)}
{title: Three Ages, The, year: (1923)}
{title: Two Jakes, The, year: (1990)}
{title: U2: Rattle and Hum, year: (1988)}
{title: Hell in the Pacific, year: (1968)}
{title: Glass Bottom Boat, The, year: (1966)}
{title: Cradle Will Rock, year: (1999)}
{title: Deuce Bigalow: Male Gigolo, year: (1999)}
{title: Green Mile, The, year: (1999)}
{title: Cider House Rules, The, year: (1999)}
{title: Diamonds, year: (1999)}
{title: War Zone, The, year: (1999)}
{title: Bat Whispers, The, year: (1930)}
{title: Last Picture Show, The, year: (1971)}
{title: 7th Voyage of Sinbad, The, year: (1958)}
{title: Blood on the Sun, year: (1945)}
{title: Anna and the King, year: (1999)}
{title: Bicentennial Man, year: (1999)}
{title: Stuart Little, year: (1999)}
{title: Emperor and the Assassin, The (Jing ke ci qin wang), year: (1999)}
{title: Fantasia 2000, year: (1999)}
{title: Magnolia, year: (1999)}
{title: Onegin, year: (1999)}
{title: Simpatico, year: (1999)}
{title: Topsy-Turvy, year: (1999)}
{title: Alley Cats, The, year: (1966)}
{title: Boiling Point, year: (1993)}
{title: Brenda Starr, year: (1989)}
{title: Carnal Knowledge, year: (1971)}
{title: Easy Rider, year: (1969)}
{title: Falcon and the Snowman, The, year: (1985)}
{title: Hi-Yo Silver, year: (1940)}
{title: Room at the Top, year: (1959)}
{title: Ulysses (Ulisse), year: (1954)}
{title: Any Given Sunday, year: (1999)}
{title: Man on the Moon, year: (1999)}
{title: Galaxy Quest, year: (1999)}
{title: Talented Mr. Ripley, The, year: (1999)}
{title: Next Friday, year: (2000)}
{title: Hurricane, The, year: (1999)}
{title: Angela's Ashes, year: (1999)}
{title: Play it to the Bone, year: (1999)}
{title: Titus, year: (1999)}
{title: Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr., year: (1999)}
{title: Third Miracle, The, year: (1999)}
{title: Montana, year: (1998)}
{title: Snow Falling on Cedars, year: (1999)}
{title: Girl, Interrupted, year: (1999)}
{title: Trans, year: (1998)}
{title: Life and Times of Hank Greenberg, The, year: (1998)}
{title: My Dog Skip, year: (1999)}
{title: Supernova, year: (2000)}
{title: Quarry, The, year: (1998)}
{title: Terrorist, The (a.k.a. Malli) (Theeviravaathi), year: (1998)}
{title: Creature, year: (1999)}
{title: Way We Were, The, year: (1973)}
{title: Tess of the Storm Country, year: (1922)}
{title: Stalag 17, year: (1953)}
{title: Presidio, The, year: (1988)}
{title: Papillon, year: (1973)}
{title: Pal Joey, year: (1957)}
{title: Last Detail, The, year: (1973)}
{title: Five Easy Pieces, year: (1970)}
{title: Even Dwarfs Started Small (Auch Zwerge haben klein angefangen), year: (1971)}
{title: Dead Calm, year: (1989)}
{title: Boys from Brazil, The, year: (1978)}
{title: Black Sunday (Maschera del demonio, La), year: (1960)}
{title: Against All Odds, year: (1984)}
{title: Snows of Kilimanjaro, The, year: (1952)}
{title: Loaded Weapon 1, year: (1993)}
{title: Loves of Carmen, The, year: (1948)}
{title: Fast Times at Ridgemont High, year: (1982)}
{title: Cry in the Dark, A, year: (1988)}
{title: Born to Win, year: (1971)}
{title: Batman: Mask of the Phantasm, year: (1993)}
{title: American Flyers, year: (1985)}
{title: Voyage of the Damned, year: (1976)}
{title: Vampyros Lesbos (Las Vampiras), year: (1971)}
{title: Star Is Born, A, year: (1937)}
{title: Poison, year: (1991)}
{title: Pacific Heights, year: (1990)}
{title: Night Tide, year: (1961)}
{title: Draughtsman's Contract, The, year: (1982)}
{title: Carmen, year: (1984)}
{title: Zed & Two Noughts, A, year: (1985)}
{title: Woman in the Dunes (Suna no onna), year: (1964)}
{title: Down to You, year: (2000)}
{title: Hellhounds on My Trail, year: (1999)}
{title: Not Love, Just Frenzy (Más que amor, frenesí), year: (1996)}
{title: Wirey Spindell, year: (2000)}
{title: Another Man's Poison, year: (1952)}
{title: Odessa File, The, year: (1974)}
{title: Saphead, The, year: (1920)}
{title: Seven Chances, year: (1925)}
{title: Smashing Time, year: (1967)}
{title: Train Ride to Hollywood, year: (1978)}
{title: Where the Buffalo Roam, year: (1980)}
{title: Zachariah, year: (1971)}
{title: Kestrel's Eye (Falkens öga), year: (1998)}
{title: Eye of the Beholder, year: (1999)}
3239::Isn't She Great? (2000)::Comedy
{title: Big Tease, The, year: (1999)}
{title: Cup, The (Phörpa), year: (1999)}
{title: Santitos, year: (1999)}
{title: Encino Man, year: (1992)}
{title: Goodbye Girl, The, year: (1977)}
{title: I Am Cuba (Soy Cuba/Ya Kuba), year: (1964)}
{title: Malcolm X, year: (1992)}
{title: Sister Act, year: (1992)}
{title: Sister Act 2: Back in the Habit, year: (1993)}
{title: Hand That Rocks the Cradle, The, year: (1992)}
{title: Alive, year: (1993)}
{title: Agnes of God, year: (1985)}
{title: Scent of a Woman, year: (1992)}
{title: Wayne's World, year: (1992)}
{title: Wayne's World 2, year: (1993)}
{title: League of Their Own, A, year: (1992)}
{title: Patriot Games, year: (1992)}
{title: Bodyguard, The, year: (1992)}
{title: Death Becomes Her, year: (1992)}
{title: Far and Away, year: (1992)}
{title: Howards End, year: (1992)}
{title: Singles, year: (1992)}
{title: Twin Peaks: Fire Walk with Me, year: (1992)}
{title: White Men Can't Jump, year: (1992)}
{title: Buffy the Vampire Slayer, year: (1992)}
{title: Hard-Boiled (Lat sau san taam), year: (1992)}
3266::Man Bites Dog (C'est arrivé près de chez vous) (1992)::Comedy|Crime|Drama|Thriller
{title: Mariachi, El, year: (1992)}
{title: Stop! Or My Mom Will Shoot, year: (1992)}
{title: Forever Young, year: (1992)}
{title: Cutting Edge, The, year: (1992)}
{title: Of Mice and Men, year: (1992)}
{title: Bad Lieutenant, year: (1992)}
{title: Scream 3, year: (2000)}
{title: Single White Female, year: (1992)}
{title: Boondock Saints, The, year: (2000)}
{title: Gun Shy, year: (2000)}
{title: Beloved/Friend (a.k.a. Amigo/Amado) (Amic/Amat), year: (1999)}
{title: Gendernauts, year: (1999)}
{title: Knockout, year: (1999)}
{title: Baby, The, year: (1973)}
{title: Brandon Teena Story, The, year: (1998)}
{title: Different for Girls, year: (1996)}
{title: Minnie and Moskowitz, year: (1971)}
{title: They Might Be Giants, year: (1971)}
{title: Beach, The, year: (2000)}
{title: Snow Day, year: (2000)}
{title: Tigger Movie, The, year: (2000)}
{title: Cotton Mary, year: (1999)}
{title: Not One Less (Yi ge dou bu neng shao), year: (1999)}
{title: Soft Toilet Seats, year: (1999)}
{title: Trois, year: (2000)}
{title: Big Combo, The, year: (1955)}
{title: Conceiving Ada, year: (1997)}
{title: Eaten Alive, year: (1976)}
{title: Raining Stones, year: (1993)}
{title: To Sir with Love, year: (1967)}
{title: With Byrd at the South Pole, year: (1930)}
{title: Boiler Room, year: (2000)}
{title: Hanging Up, year: (2000)}
{title: Pitch Black, year: (2000)}
{title: Whole Nine Yards, The, year: (2000)}
{title: Beautiful People, year: (1999)}
{title: Black Tar Heroin: The Dark End of the Street, year: (2000)}
{title: Blue Collar, year: (1978)}
{title: Bluebeard, year: (1944)}
{title: Circus, The, year: (1928)}
{title: City Lights, year: (1931)}
{title: Flamingo Kid, The, year: (1984)}
{title: Dog's Life, A, year: (1918)}
{title: Kid, The, year: (1921)}
{title: Man from Laramie, The, year: (1955)}
{title: McCullochs, The, year: (1975)}
{title: Class Reunion, year: (1982)}
{title: Big Trees, The, year: (1952)}
{title: Happy Go Lovely, year: (1951)}
{title: Reindeer Games, year: (2000)}
{title: Wonder Boys, year: (2000)}
{title: Deterrence, year: (1999)}
